drop_this,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
165,200.21,200.62,200.21,32.128229714,0.9852,0.072,0.054,0.874,0.12155128473676864,0.4673176465111949,1.0
166,199.38,201.15,199.38,6670.4457876256,0.994,0.094,0.067,0.839,0.17283514415867351,0.3910282799988682,1.0
167,198.14,200.46,198.14,12241.1835744924,0.999,0.107,0.031,0.861,0.1229247015610652,0.49909659784659777,1.0
168,201.84,201.84,196.47,9967.2638234274,0.9968,0.092,0.041,0.867,0.11380427170868346,0.47805115227909334,0.0
169,203.67,204.37,203.18,3322.4172621898,0.9942,0.076,0.043,0.881,0.1231958041958042,0.45698568098568104,0.0
170,201.33,203.78,201.0,98453.19432657718,0.9967,0.104,0.04,0.856,0.08830300988319856,0.44212713387241687,1.0
171,202.72,202.72,200.6,109.5218759452,0.9971,0.08,0.013,0.907,0.1109511557624765,0.4215442838084348,0.0
172,201.82,203.94,201.82,158341.76703268482,0.9968,0.089,0.053,0.858,0.03576945929887105,0.37432319926805224,1.0
173,202.67,202.67,202.67,1579.8266423367998,0.9972,0.093,0.05,0.857,0.10076729500273189,0.40873289332027185,1.0
174,201.74,204.73,201.74,7545.0684442773,0.975,0.074,0.055,0.871,0.08533868092691621,0.4229426619132501,1.0
175,200.46,200.56,200.24,2842.655187708,0.9967,0.09,0.054,0.856,0.015640244329564724,0.3958216352148393,0.0
176,198.39,199.0,198.39,17180.268781759798,0.9545,0.096,0.074,0.83,0.11235287944378851,0.4554629410993049,1.0
177,196.43,196.43,194.27,75533.5935401152,0.5231,0.046,0.035,0.919,0.0027153306463651413,0.34912362541672887,0.0
178,201.27,201.27,197.62,15422.6711798394,0.9896,0.103,0.059,0.838,0.18675820707070703,0.470407196969697,0.0
179,201.83,201.83,201.64,102.0393695064,0.9971,0.072,0.021,0.907,0.07007700632700632,0.458255772005772,0.0
180,204.91,206.7,204.91,8392.3865708346,0.9984,0.122,0.084,0.794,0.12536689500975218,0.49949633699633683,1.0
181,199.61,204.14,199.61,49959.29799433219,0.9955,0.084,0.052,0.864,0.07083562623816862,0.427468082764693,1.0
182,201.01,201.03,201.01,63.3709502493,0.9991,0.093,0.041,0.866,0.045253036315536316,0.4008604844229843,1.0
183,200.93,201.14,199.5,4616.015296863799,0.9956,0.065,0.038,0.897,0.018165842094413517,0.3976922284065142,1.0
184,203.23,203.23,201.26,5946.9961813832,0.9983,0.094,0.041,0.865,0.08209107201042681,0.4119815668202762,0.0
185,204.8,205.5,203.87,13975.1771252034,0.9996,0.128,0.048,0.824,0.08273272727272732,0.4571484559884562,0.0
186,202.47,202.47,202.36,30.9437721492,0.9982,0.096,0.049,0.856,0.12370332538871869,0.4098932746404655,0.0
187,200.83,200.83,200.83,0.0,0.9994,0.103,0.029,0.868,0.1577551933020683,0.45188285383597876,1.0
188,201.16,201.34,200.41,6137.3728793909,0.9978,0.086,0.029,0.884,0.14402958152958156,0.42910654160654177,0.0
189,199.25,200.51,198.84,1939.52970132,0.998,0.109,0.047,0.845,0.20097887187439425,0.502022355753699,0.0
190,204.38,204.38,200.44,1583.5549212456,0.9931,0.075,0.036,0.888,0.0491904337492573,0.4079213882522705,0.0
191,194.93,203.48,194.93,20946.6085679036,0.9982,0.089,0.028,0.883,0.1549234736119982,0.4253041539516949,1.0
192,191.97,193.86,191.97,8207.700903831,0.9832,0.08,0.06,0.859,0.10547252992105934,0.3930669616331381,1.0
193,192.0,192.23,191.37,6317.312966366,0.9987,0.104,0.04,0.856,0.2043121855621856,0.4528686966186968,1.0
194,197.7,197.71,197.7,38.2559241294,0.9967,0.106,0.037,0.857,0.12972605877367782,0.4657556288508669,1.0
195,198.23,198.23,198.23,0.0,0.9957,0.091,0.042,0.868,0.09444669913419913,0.4780088834776335,1.0
196,198.44,198.44,197.38,63763.8044056492,0.9889,0.092,0.059,0.849,0.034419971919971926,0.5054990054990055,0.0
197,199.76,199.97,196.41,103620.5682016196,0.9266,0.07,0.057,0.873,0.06750789997625442,0.38994227994227987,0.0
198,196.94,197.98,193.62,86537.5076343578,0.9977,0.096,0.056,0.848,0.10986365160660938,0.4590191146881289,1.0
199,193.67,193.83,193.21,11150.4281376306,0.9834,0.065,0.05,0.885,0.0384912488944747,0.4254674626448821,1.0
240,236.79,236.79,235.36,419.2968,-0.8137,0.061,0.069,0.871,0.005423728813559308,0.3548399246704332,0.0
